BARCODE,CORE,ZIP,FILE,TMP
4974365610982,GENESIS,/media/fat/Games/Genesis/\@Genesis\ -\ MegaSD\ -\ Mega\ EverDrive\ 2020-06-04.zip,1\ US\ -\ Q-Z/Super\ Street\ Fighter\ II\ \(USA\).md,/tmp/game.md
4988602610086,GENESIS,/media/fat/Games/Genesis/\@Genesis\ -\ MegaSD\ -\ Mega\ EverDrive\ 2020-06-04.zip,1\ US\ -\ Q-Z/Rocket\ Knight\ Adventures\ \(USA\).md,/tmp/game.md
5012967600082,C16.TAPE,/media/fat/Games/C16/TAP.zip,Big\ Mac\ \(1985\)\(Mastertronic\).tap,/tmp/game.tap
5012967200183,SPECTRUM,/media/fat/Games/Spectrum/\@MiSTer\ Pack\ Add-on\ -\ Spectrum\ 2020-04-15.zip,Spectrum/1\ Games/\\[TAP\\]\ \(TOSEC-v2014-10-28_CM\)/Kane\ \(1986\)\(Mastertronic\).tap,/tmp/game.tap
